sp	matK	rbcL	ndhF	trnL-F	ITS
170	T	T	T	T	T
270	T	T	T	T	T
533	F	F	F	FAIL	T
679	T	T	T	T	FAIL
777	T	T	T	T	T
845	FAIL	T	F	FAIL	T
1102	T	T	T	T	T
1165	T	FAIL	T	FAIL	T
1182	T	T	T	T	T
1386	T	T	T	T	T
1502	T	T	T	T	T
1503	T	T	T	T	T
1525	T	FAIL	FAIL	FAIL	T
1531	T	T	T	T	T
1610	F	T	F	FAIL	T
1661	T	T	T	T	T
1705	T	T	T	T	T
1716	F	T	FAIL	FAIL	T
1739	T	T	T	FAIL	T
1770	T	T	T	T	T
1860	F	T	FAIL	T	T
1915	F	T	T	FAIL	T
2095	F	FAIL	F	FAIL	F
2168	T	T	T	T	T
2272	T	T	T	T	T
2311	T	T	T	T	T
2693	T	T	T	FAIL	T
2700	T	T	T	T	T
2711	T	T	T	T	T
2763	T	T	T	T	T
2764	T	T	T	T	T
2794	FAIL	FAIL	FAIL	FAIL	T
2831	T	T	T	T	T
2960	T	T	T	FAIL	T
3129	F	F	F	F	F
3211	T	T	T	T	T
3220	T	F	F	FAIL	T
3230	T	T	T	T	T
3231	T	T	T	T	T
3234	T	T	T	T	T
3279	T	T	F	T	T
3301	T	T	T	T	T
3316	T	T	T	FAIL	T
3338	T	T	T	T	T
3341	T	F	T	FAIL	T
3342	T	T	F	T	T
3345	T	T	T	FAIL	F
3349	F	T	F	F	T
3353	T	T	T	T	T
3384	T	T	T	T	T
3386	T	T	T	T	T
3419	T	T	T	FAIL	F
3423	T	T	T	T	T
3444	T	T	T	FAIL	T
3448	T	T	T	FAIL	T
3518	T	T	T	FAIL	T
3527	T	T	T	T	T
3536	T	T	T	T	T
3545	T	T	FAIL	FAIL	T
3594	T	T	T	T	T
3606	FAIL	FAIL	F	FAIL	T
3676	T	T	T	T	T
3679	T	T	T	T	T
3729	T	T	T	FAIL	T
3935	T	T	T	F	T
3955	T	T	T	T	F
3966	T	T	T	T	T
3970	FAIL	T	F	FAIL	T
3980	T	F	F	FAIL	T
4004	T	T	T	FAIL	T
C-127	C-296	C-296	C-129	C-129	C-296
C-129	C-127	C-127	C-127	C-127	C-127
C-130	C-48	C-303	C-303	C-181	C-414
C-136	C-21	C-21	C-21	C-263	C-21
C-17	C-86	C-86	C-313	C-69	C-69
C-181	C-48	C-48	C-48	C-365	C-48
C-21	C-136	C-136	C-136	C-342	C-136
C-227	C-40	C-40	C-40	C-40	C-40
C-239	C-387	C-387	C-387	C-387	C-387
C-251	C-32	C-40	C-40	C-313	C-259
C-259	C-40	C-40	C-40	C-40	C-32
C-263	C-64	C-136	C-265	C-21	C-64
C-265	C-263	C-263	C-263	C-263	C-414
C-271	C-365	C-393	C-365	C-365	C-393
C-280	C-86	C-86	C-86	C-86	C-69
C-296	C-127	C-127	C-127	C-127	C-127
C-303	C-48	C-130	C-130	C-40	C-414
C-313	C-86	C-86	C-17	C-17	C-69
C-32	C-40	C-251	C-40	C-40	C-259
C-342	C-136	C-136	C-136	C-21	C-21
C-365	C-393	C-393	C-271	C-271	C-393
C-387	C-500	C-239	C-500	C-239	C-239
C-393	C-365	C-271	C-365	C-271	C-271
C-40	C-259	C-251	C-259	C-259	C-259
C-414	C-303	C-303	C-303	FAIL	C-303
C-48	C-181	C-181	C-181	C-130	C-181
C-500	C-387	C-239	C-387	C-387	C-387
C-64	C-263	C-263	C-265	C-263	C-414
C-69	C-86	C-86	C-17	C-17	C-17
C-86	C-313	C-17	C-17	C-313	C-69
