sp	matK	rbcL	ndhF	trnL-F	ITS
69	T	T	T	T	T
168	T	T	T	T	T
170	T	T	T	T	T
174	T	T	T	FAIL	T
176	T	T	T	T	T
270	T	T	T	T	T
533	FAIL	F	T	FAIL	T
644	T	T	T	FAIL	FAIL
654	FAIL	FAIL	FAIL	FAIL	T
655	T	T	T	FAIL	T
679	T	T	T	FAIL	T
682	T	T	T	T	T
706	T	T	T	T	T
710	T	T	T	F	FAIL
743	F	T	T	F	T
746	FAIL	FAIL	FAIL	FAIL	FAIL
747	T	T	T	FAIL	T
777	T	T	T	T	T
821	T	T	T	F	T
845	FAIL	FAIL	F	FAIL	T
944	F	T	F	FAIL	FAIL
1102	T	T	T	T	T
1162	T	T	T	T	T
1165	FAIL	FAIL	FAIL	FAIL	T
1182	T	T	T	T	T
1240	FAIL	F	T	FAIL	T
1285	T	T	F	T	T
1314	T	T	T	T	T
1324	T	T	T	T	T
1382	T	T	T	FAIL	T
1386	T	T	T	T	T
1502	T	T	T	T	T
1503	T	T	T	FAIL	T
1525	FAIL	FAIL	FAIL	FAIL	T
1531	T	T	T	T	T
1534	T	T	T	T	FAIL
1556	T	T	T	T	T
1570	F	F	F	FAIL	T
1590	T	T	T	FAIL	T
1610	FAIL	FAIL	FAIL	FAIL	T
1653	T	T	T	T	FAIL
1661	T	T	T	T	T
1676	FAIL	T	T	FAIL	T
1678	T	T	T	T	T
1699	T	T	T	T	T
1702	T	T	T	T	T
1703	T	T	T	T	T
1705	F	T	T	FAIL	T
1716	FAIL	FAIL	FAIL	FAIL	T
1717	T	T	T	T	FAIL
1739	T	T	T	FAIL	T
1740	T	T	T	FAIL	T
1770	T	T	T	T	T
1774	T	T	T	T	T
1845	T	T	T	FAIL	T
1853	T	T	T	T	T
1860	FAIL	FAIL	FAIL	FAIL	T
1874	T	T	T	T	T
1877	T	T	F	FAIL	T
1905	T	F	T	FAIL	T
1915	T	T	T	FAIL	T
1928	T	T	T	T	T
1936	F	T	T	FAIL	T
1939	T	T	T	F	T
2065	F	T	T	FAIL	T
2095	F	F	F	FAIL	F
2100	T	T	T	T	T
2168	T	T	T	FAIL	T
2272	T	T	T	FAIL	T
2311	T	T	T	T	T
2647	T	T	T	T	FAIL
2650	T	T	T	T	T
2693	T	T	T	FAIL	T
2700	T	T	T	T	FAIL
2711	T	T	T	FAIL	T
2763	T	T	T	T	T
2764	T	T	T	T	T
2794	FAIL	FAIL	FAIL	FAIL	T
2798	T	T	T	FAIL	FAIL
2827	FAIL	FAIL	T	FAIL	T
2831	T	T	T	FAIL	T
2906	T	T	T	T	T
2907	T	T	T	T	T
2909	T	T	T	T	T
2942	T	T	T	T	T
2960	T	T	T	FAIL	T
2985	FAIL	FAIL	FAIL	FAIL	F
3013	T	T	T	FAIL	T
3121	T	T	T	T	T
3122	T	T	T	F	T
3129	FAIL	FAIL	FAIL	FAIL	F
3211	T	T	T	T	T
3220	T	F	FAIL	FAIL	FAIL
3230	T	T	T	T	T
3231	T	F	T	T	T
3234	T	T	T	T	T
3235	F	F	F	FAIL	F
3279	T	T	F	T	T
3301	T	T	T	FAIL	T
3316	T	T	T	FAIL	T
3338	T	T	T	T	T
3340	T	T	F	F	T
3341	F	F	T	FAIL	FAIL
3342	T	F	F	T	T
3345	T	T	T	FAIL	F
3349	F	F	F	FAIL	T
3353	T	T	T	T	T
3356	T	T	T	FAIL	T
3384	T	T	T	FAIL	T
3386	T	T	T	T	T
3419	T	T	T	FAIL	F
3423	T	T	T	T	T
3431	T	FAIL	T	T	T
3444	T	T	T	FAIL	T
3447	T	T	T	FAIL	T
3448	T	T	T	FAIL	T
3452	T	T	T	T	T
3518	FAIL	FAIL	F	FAIL	T
3527	T	T	T	T	T
3536	T	T	T	FAIL	T
3545	FAIL	FAIL	FAIL	FAIL	T
3594	T	T	T	T	T
3595	FAIL	FAIL	F	FAIL	FAIL
3600	FAIL	F	T	FAIL	FAIL
3606	FAIL	T	F	FAIL	T
3609	T	FAIL	FAIL	FAIL	FAIL
3640	T	T	T	FAIL	T
3676	T	T	T	T	T
3679	T	T	T	T	T
3680	T	T	T	T	T
3729	FAIL	T	T	FAIL	T
3935	T	T	T	FAIL	T
3955	T	T	T	FAIL	F
3966	T	T	T	T	T
3970	T	T	F	FAIL	T
3980	T	F	FAIL	FAIL	T
4004	T	T	T	FAIL	T
C-127	C-296	C-296	C-129	C-129	C-296
C-129	C-127	C-127	C-127	C-127	C-127
C-130	C-48	C-303	C-303	C-181	C-414
C-136	C-21	C-21	C-21	C-263	C-21
C-17	C-86	C-86	C-313	C-69	C-69
C-181	C-48	C-48	C-48	C-365	C-48
C-21	C-136	C-136	C-136	C-342	C-136
C-227	C-40	C-40	C-40	C-280	C-40
C-239	C-387	C-387	C-387	C-387	C-387
C-251	C-32	C-40	C-40	FAIL	C-259
C-259	C-40	C-40	C-40	C-40	C-32
C-263	C-64	C-136	C-265	C-265	C-64
C-265	C-263	C-263	C-263	C-263	C-414
C-271	C-365	C-393	C-365	C-365	C-393
C-280	C-86	C-86	C-86	C-86	C-69
C-296	C-127	C-127	C-127	C-127	C-127
C-303	C-48	C-263	C-130	C-40	C-414
C-313	C-86	C-86	C-17	C-17	C-69
C-32	C-40	C-251	C-40	C-40	C-259
C-342	C-136	C-136	C-136	C-21	C-21
C-365	C-393	C-393	C-271	C-271	C-393
C-387	C-500	C-239	C-500	C-239	C-239
C-393	C-365	C-365	C-365	C-271	C-271
C-40	C-259	C-251	C-259	C-259	C-259
C-414	C-303	C-48	C-303	FAIL	C-303
C-48	C-181	C-181	C-181	C-130	C-181
C-500	C-387	C-387	C-387	C-387	C-387
C-64	C-263	C-263	C-265	C-265	C-414
C-69	C-86	C-86	C-17	C-17	C-17
C-86	C-313	C-17	C-69	C-313	C-69
S-1	T	F	F	T	T
S-2	T	T	T	F	T
S-3	FAIL	T	FAIL	FAIL	T
S-4	T	T	F	FAIL	T
S-5	FAIL	F	T	FAIL	T
S-6	T	T	T	FAIL	T
S-7	T	F	T	FAIL	T
S-8	T	T	T	T	T
S-9	T	F	F	FAIL	T
S-10	T	T	T	FAIL	T
S-11	FAIL	T	T	FAIL	T
S-12	FAIL	FAIL	FAIL	FAIL	FAIL
S-13	T	T	T	T	T
S-14	T	F	T	T	T
S-15	T	T	T	T	T
S-16	T	F	T	FAIL	T
S-17	T	T	T	T	T
S-18	F	F	F	FAIL	F
S-19	T	T	T	FAIL	T
S-20	T	T	T	T	T
S-21	F	T	F	FAIL	T
S-22	F	T	T	FAIL	T
S-23	FAIL	FAIL	FAIL	FAIL	T
S-24	T	T	T	T	T
S-25	T	T	T	F	T
S-26	T	T	T	FAIL	T
S-27	T	T	T	T	T
S-28	T	T	T	FAIL	T
S-29	T	T	T	T	T
S-30	FAIL	FAIL	FAIL	FAIL	T
S-31	FAIL	FAIL	FAIL	FAIL	T
S-32	F	FAIL	F	FAIL	T
S-33	F	T	F	FAIL	T
S-34	F	F	F	F	T
S-35	F	F	F	FAIL	T
S-36	F	T	F	FAIL	T
S-37	F	F	F	FAIL	T
S-38	F	T	F	FAIL	T
S-39	T	T	F	FAIL	T
S-40	FAIL	T	F	FAIL	T
S-41	F	F	F	FAIL	T
S-42	T	T	T	T	T
S-43	F	T	T	T	T
S-44	T	T	T	FAIL	T
S-45	T	T	T	T	T
S-46	T	T	T	FAIL	T
S-47	T	T	T	T	T
S-48	T	T	T	T	T
S-49	T	T	T	FAIL	T
S-50	T	T	T	FAIL	T
S-51	T	T	T	T	T
S-52	FAIL	T	F	FAIL	T
S-53	T	T	T	F	T
S-54	FAIL	FAIL	T	FAIL	F
S-55	T	T	T	T	FAIL
S-56	FAIL	FAIL	F	FAIL	T
S-57	F	FAIL	FAIL	FAIL	T
S-58	F	T	T	T	T
S-59	F	T	T	T	F
S-60	T	F	T	FAIL	T
S-61	T	F	T	F	T
S-62	T	F	F	T	T
S-63	F	T	F	FAIL	T
S-64	F	F	F	FAIL	T
S-65	F	F	F	FAIL	T
S-66	F	F	T	FAIL	T
S-67	T	F	F	F	T
S-68	FAIL	F	T	FAIL	T
S-69	T	F	T	FAIL	T
S-70	F	F	F	FAIL	T
S-71	FAIL	FAIL	FAIL	FAIL	T
S-72	T	F	T	FAIL	T
S-73	F	F	T	FAIL	T
S-74	T	F	T	FAIL	T
S-75	FAIL	T	T	FAIL	T
S-76	FAIL	F	T	FAIL	T
S-77	FAIL	F	FAIL	FAIL	T
S-78	FAIL	FAIL	FAIL	FAIL	T
S-79	T	F	T	FAIL	T
S-80	F	F	T	F	T
S-81	F	T	T	FAIL	T
S-82	F	T	F	T	F
S-83	T	T	T	FAIL	T
S-84	T	T	T	FAIL	T
S-85	T	T	F	FAIL	T
S-86	FAIL	FAIL	T	FAIL	T
S-87	F	T	F	F	T
S-88	F	T	T	FAIL	T
S-89	F	T	T	FAIL	T
S-90	T	F	T	FAIL	T
S-91	T	T	T	T	T
S-92	T	T	T	FAIL	T
S-93	FAIL	FAIL	FAIL	FAIL	T
S-94	T	T	T	T	T
S-95	T	T	T	FAIL	T
S-96	T	T	T	T	T
S-97	T	T	T	FAIL	T
S-98	T	T	T	FAIL	T
S-99	T	T	T	T	T
S-100	T	T	T	FAIL	T
