sp	matK	rbcL	ndhF	trnL-F	ITS
2764	T	T	T	T	T	
3536	T	T	T	FAIL	T	
C-280	C-86	C-86	C-86	C-86	C-69	
C-86	C-313	C-17	C-69	C-313	C-69	
C-342	C-136	C-136	C-136	C-21	C-21	
1525	FAIL	FAIL	FAIL	FAIL	T	
C-313	C-86	C-86	C-17	C-17	C-69	
C-259	C-40	C-40	C-40	C-40	C-32	
C-265	C-263	C-263	C-263	C-263	C-414	
C-48	C-181	C-181	C-181	C-130	C-181	
C-251	C-32	C-40	C-40	FAIL	C-259	
C-64	C-263	C-263	C-265	C-265	C-414	
C-365	C-393	C-393	C-271	C-271	C-393	
C-129	C-127	C-127	C-127	C-127	C-127	
C-303	C-48	C-263	C-130	C-40	C-414	
C-227	C-40	C-40	C-40	C-280	C-40	
C-127	C-296	C-296	C-129	C-129	C-296	
C-271	C-365	C-393	C-365	C-365	C-393	
C-136	C-21	C-21	C-21	C-263	C-21	
3419	T	T	T	FAIL	F	
C-263	C-64	C-136	C-265	C-265	C-64	
1503	T	T	T	FAIL	T	
C-40	C-259	C-251	C-259	C-259	C-259	
C-296	C-127	C-127	C-127	C-127	C-127	
3545	FAIL	FAIL	FAIL	FAIL	T	
C-69	C-86	C-86	C-17	C-17	C-17	
2095	F	F	F	FAIL	F	
C-130	C-48	C-303	C-303	C-181	C-414	
C-17	C-86	C-86	C-313	C-69	C-69	
C-32	C-40	C-251	C-40	C-40	C-259	
1102	T	T	T	T	T	
C-181	C-48	C-48	C-48	C-365	C-48	
C-21	C-136	C-136	C-136	C-342	C-136	
1860	FAIL	FAIL	FAIL	FAIL	T	
2711	T	T	T	FAIL	T	
3279	T	T	F	T	T	
1610	FAIL	FAIL	FAIL	FAIL	T	
3966	T	T	T	T	T	
3606	FAIL	T	F	FAIL	T	
C-239	C-387	C-387	C-387	C-387	C-387	
C-387	C-500	C-239	C-500	C-239	C-239	
2960	T	T	T	FAIL	T	
3338	T	T	T	T	T	
C-393	C-365	C-365	C-365	C-271	C-271	
C-500	C-387	C-387	C-387	C-387	C-387	
3970	T	T	F	FAIL	T	
170	T	T	T	T	T	
2693	T	T	T	FAIL	T	
2311	T	T	T	T	T	
3676	T	T	T	T	T	
3527	T	T	T	T	T	
2700	T	T	T	T	FAIL	
4004	T	T	T	FAIL	T	
3980	T	F	FAIL	FAIL	T	
3129	FAIL	FAIL	FAIL	FAIL	F	
1770	T	T	T	T	T	
3341	F	F	T	FAIL	FAIL	
1716	FAIL	FAIL	FAIL	FAIL	T	
3955	T	T	T	FAIL	F	
1705	F	T	T	FAIL	T	
3234	T	T	T	T	T	
1915	T	T	T	FAIL	T	
3935	T	T	T	FAIL	T	
3301	T	T	T	FAIL	T	
3230	T	T	T	T	T	
2168	T	T	T	FAIL	T	
3729	FAIL	T	T	FAIL	T	
2831	T	T	T	FAIL	T	
1739	T	T	T	FAIL	T	
1182	T	T	T	T	T	
1502	T	T	T	T	T	
1531	T	T	T	T	T	
777	3431	1525	3431	3431	3431	
845	FAIL	FAIL	F	FAIL	T	
533	FAIL	F	T	FAIL	T	
3448	T	T	T	FAIL	T	
679	T	T	T	FAIL	T	
3211	T	T	T	T	T	
2763	T	T	T	T	T	
3231	T	F	T	T	T	
3316	T	T	T	FAIL	T	
3423	T	T	T	T	T	
3349	F	F	F	FAIL	T	
1165	FAIL	FAIL	FAIL	FAIL	T	
2794	FAIL	FAIL	FAIL	FAIL	T	
3386	T	T	T	T	T	
3384	T	T	T	FAIL	T	
3345	T	T	T	FAIL	F	
3679	T	T	T	T	T	
3342	T	F	F	T	T	
1661	T	T	T	T	T	
3518	FAIL	FAIL	F	FAIL	T	
1386	T	T	T	T	T	
C-414	C-303	C-48	C-303	FAIL	C-303	
3444	T	T	T	FAIL	T	
3594	T	T	T	T	T	
2272	T	T	T	FAIL	T	
3220	T	F	FAIL	FAIL	FAIL	
3353	T	T	T	T	T	
270	T	T	T	T	T	
1774	T	T	T	T	T	
3447	T	T	T	FAIL	T	
3600	FAIL	F	T	FAIL	FAIL	
3680	T	T	T	T	T	
1740	T	T	T	FAIL	T	
1382	T	T	T	FAIL	T	
3595	FAIL	FAIL	F	FAIL	FAIL	
1556	T	T	T	T	T	
644	T	T	T	FAIL	FAIL	
1324	T	T	T	T	T	
706	T	T	T	T	T	
654	FAIL	FAIL	FAIL	FAIL	T	
176	T	T	T	T	T	
3431	T	FAIL	T	T	T	
3121	T	T	T	T	T	
2065	F	T	T	FAIL	T	
3609	T	FAIL	FAIL	FAIL	FAIL	
1534	T	T	T	T	FAIL	
3122	T	T	T	F	T	
710	T	T	T	F	FAIL	
1717	T	T	T	T	FAIL	
655	T	T	T	FAIL	T	
2942	T	T	T	T	T	
174	T	T	T	FAIL	T	
2909	T	T	T	T	T	
682	T	T	T	T	T	
3452	T	T	T	T	T	
2907	T	T	T	T	T	
1240	FAIL	F	T	FAIL	T	
3340	T	T	F	F	T	
1936	F	T	T	FAIL	T	
3356	T	T	T	FAIL	T	
2827	FAIL	FAIL	T	FAIL	T	
69	T	T	T	T	T	
743	F	T	T	F	T	
1570	F	F	F	FAIL	T	
1905	T	F	T	FAIL	T	
747	T	T	T	FAIL	T	
2798	T	T	T	FAIL	FAIL	
3640	T	T	T	FAIL	T	
3013	T	T	T	FAIL	T	
2985	FAIL	FAIL	FAIL	FAIL	F	
2100	T	T	T	T	T	
1939	T	T	T	F	T	
944	F	T	F	FAIL	FAIL	
3235	F	F	F	FAIL	F	
746	FAIL	FAIL	FAIL	FAIL	FAIL	
1877	T	T	F	FAIL	T	
1845	T	T	T	FAIL	T	
2650	T	T	T	T	T	
1702	T	T	T	T	T	
1285	T	T	F	T	T	
2906	T	T	T	T	T	
1162	T	T	T	T	T	
1853	T	T	T	T	T	
1699	T	T	T	T	T	
1314	T	T	T	T	T	
2647	T	T	T	T	FAIL	
1874	T	T	T	T	T	
1653	T	T	T	T	FAIL	
1590	T	T	T	FAIL	T	
1678	1677	1677	746	1677	618	
168	T	T	T	T	T	
1676	FAIL	T	T	FAIL	T	
1703	T	T	T	T	T	
1928	T	T	T	T	T	
821	T	T	T	F	T	
