sp	matK	rbcL	ndhF	trnL-F	ITS
3594	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1570	FAIL	FAIL	FAIL	FAIL	FAIL	
3527	FAIL	FAIL	FAIL	FAIL	FAIL	
3345	FAIL	FAIL	FAIL	FAIL	FAIL	
1702	FAIL	FAIL	FAIL	FAIL	FAIL	
3606	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
679	FAIL	FAIL	FAIL	FAIL	FAIL	
1678	FAIL	FAIL	FAIL	FAIL	FAIL	
1944	FAIL	FAIL	FAIL	FAIL	FAIL	
1860	FAIL	FAIL	FAIL	FAIL	FAIL	
1102	FAIL	FAIL	FAIL	FAIL	FAIL	
1699	FAIL	FAIL	FAIL	FAIL	FAIL	
3342	FAIL	FAIL	FAIL	FAIL	FAIL	
2272	FAIL	FAIL	FAIL	FAIL	FAIL	
3594	FAIL	FAIL	FAIL	FAIL	FAIL	
1860	FAIL	FAIL	FAIL	FAIL	FAIL	
1702	FAIL	FAIL	FAIL	FAIL	FAIL	
1503	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1946	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
644	FAIL	FAIL	FAIL	FAIL	FAIL	
618	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	FAIL	FAIL	FAIL	FAIL	FAIL	
618	FAIL	FAIL	FAIL	FAIL	FAIL	
1702	FAIL	FAIL	FAIL	FAIL	FAIL	
3357	FAIL	FAIL	FAIL	FAIL	FAIL	
1915	FAIL	FAIL	FAIL	FAIL	FAIL	
sp	matK	rbcL	ndhF	trnL-F	ITS
ITS	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
3527	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-21	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-32	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-181	FAIL	FAIL	FAIL	FAIL	FAIL	
C-259	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-393	FAIL	FAIL	FAIL	FAIL	FAIL	
C-127	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-259	FAIL	FAIL	FAIL	FAIL	FAIL	
C-296	FAIL	FAIL	FAIL	FAIL	FAIL	
C-393	FAIL	FAIL	FAIL	FAIL	FAIL	
C-21	FAIL	FAIL	FAIL	FAIL	FAIL	
3423	FAIL	FAIL	FAIL	FAIL	FAIL	
C-64	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
C-259	FAIL	FAIL	FAIL	FAIL	FAIL	
C-127	FAIL	FAIL	FAIL	FAIL	FAIL	
3349	FAIL	FAIL	FAIL	FAIL	FAIL	
C-17	FAIL	FAIL	FAIL	FAIL	FAIL	
3980	FAIL	FAIL	FAIL	FAIL	FAIL	
C-414	FAIL	FAIL	FAIL	FAIL	FAIL	
C-69	FAIL	FAIL	FAIL	FAIL	FAIL	
C-259	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	FAIL	FAIL	FAIL	FAIL	FAIL	
C-48	FAIL	FAIL	FAIL	FAIL	FAIL	
C-136	FAIL	FAIL	FAIL	FAIL	FAIL	
1853	FAIL	FAIL	FAIL	FAIL	FAIL	
2700	FAIL	FAIL	FAIL	FAIL	FAIL	
3980	FAIL	FAIL	FAIL	FAIL	FAIL	
1570	FAIL	FAIL	FAIL	FAIL	FAIL	
3452	FAIL	FAIL	FAIL	FAIL	FAIL	
1905	FAIL	FAIL	FAIL	FAIL	FAIL	
C-387	FAIL	FAIL	FAIL	FAIL	FAIL	
C-239	FAIL	FAIL	FAIL	FAIL	FAIL	
1850	FAIL	FAIL	FAIL	FAIL	FAIL	
1531	FAIL	FAIL	FAIL	FAIL	FAIL	
C-271	FAIL	FAIL	FAIL	FAIL	FAIL	
C-387	FAIL	FAIL	FAIL	FAIL	FAIL	
S-82	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
2272	FAIL	FAIL	FAIL	FAIL	FAIL	
2942	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
1176	FAIL	FAIL	FAIL	FAIL	FAIL	
3279	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1774	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1705	FAIL	FAIL	FAIL	FAIL	FAIL	
3536	FAIL	FAIL	FAIL	FAIL	FAIL	
3600	FAIL	FAIL	FAIL	FAIL	FAIL	
3230	FAIL	FAIL	FAIL	FAIL	FAIL	
743	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
3980	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
679	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
679	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
3121	FAIL	FAIL	FAIL	FAIL	FAIL	
3518	FAIL	FAIL	FAIL	FAIL	FAIL	
3431	FAIL	FAIL	FAIL	FAIL	FAIL	
3980	FAIL	FAIL	FAIL	FAIL	FAIL	
3980	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
3386	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
3129	FAIL	FAIL	FAIL	FAIL	FAIL	
3545	FAIL	FAIL	FAIL	FAIL	FAIL	
3600	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
3231	FAIL	FAIL	FAIL	FAIL	FAIL	
3230	FAIL	FAIL	FAIL	FAIL	FAIL	
2711	FAIL	FAIL	FAIL	FAIL	FAIL	
3680	FAIL	FAIL	FAIL	FAIL	FAIL	
3340	FAIL	FAIL	FAIL	FAIL	FAIL	
1382	FAIL	FAIL	FAIL	FAIL	FAIL	
1531	FAIL	FAIL	FAIL	FAIL	FAIL	
1382	FAIL	FAIL	FAIL	FAIL	FAIL	
C-303	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1162	FAIL	FAIL	FAIL	FAIL	FAIL	
2279	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1162	FAIL	FAIL	FAIL	FAIL	FAIL	
1382	FAIL	FAIL	FAIL	FAIL	FAIL	
1770	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1165	FAIL	FAIL	FAIL	FAIL	FAIL	
3679	FAIL	FAIL	FAIL	FAIL	FAIL	
3729	FAIL	FAIL	FAIL	FAIL	FAIL	
270	FAIL	FAIL	FAIL	FAIL	FAIL	
777	FAIL	FAIL	FAIL	FAIL	FAIL	
3230	FAIL	FAIL	FAIL	FAIL	FAIL	
1590	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	FAIL	FAIL	FAIL	FAIL	FAIL	
1525	FAIL	FAIL	FAIL	FAIL	FAIL	
3680	FAIL	FAIL	FAIL	FAIL	FAIL	
1936	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
3518	FAIL	FAIL	FAIL	FAIL	FAIL	
1174	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
3676	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
2272	FAIL	FAIL	FAIL	FAIL	FAIL	
3357	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
2272	FAIL	FAIL	FAIL	FAIL	FAIL	
3527	FAIL	FAIL	FAIL	FAIL	FAIL	
3342	FAIL	FAIL	FAIL	FAIL	FAIL	
2065	FAIL	FAIL	FAIL	FAIL	FAIL	
706	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1102	FAIL	FAIL	FAIL	FAIL	FAIL	
1915	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
3606	FAIL	FAIL	FAIL	FAIL	FAIL	
3594	FAIL	FAIL	FAIL	FAIL	FAIL	
3345	FAIL	FAIL	FAIL	FAIL	FAIL	
1570	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
C-129	FAIL	FAIL	FAIL	FAIL	FAIL	
S-20	FAIL	FAIL	FAIL	FAIL	FAIL	
3606	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1678	FAIL	FAIL	FAIL	FAIL	FAIL	
1944	FAIL	FAIL	FAIL	FAIL	FAIL	
1860	FAIL	FAIL	FAIL	FAIL	FAIL	
1102	FAIL	FAIL	FAIL	FAIL	FAIL	
1699	FAIL	FAIL	FAIL	FAIL	FAIL	
3342	FAIL	FAIL	FAIL	FAIL	FAIL	
2907	FAIL	FAIL	FAIL	FAIL	FAIL	
3594	FAIL	FAIL	FAIL	FAIL	FAIL	
1860	FAIL	FAIL	FAIL	FAIL	FAIL	
1702	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1946	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
644	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
2650	FAIL	FAIL	FAIL	FAIL	FAIL	
618	FAIL	FAIL	FAIL	FAIL	FAIL	
1702	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1915	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1314	FAIL	FAIL	FAIL	FAIL	FAIL	
3122	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
4004	FAIL	FAIL	FAIL	FAIL	FAIL	
1678	FAIL	FAIL	FAIL	FAIL	FAIL	
1314	FAIL	FAIL	FAIL	FAIL	FAIL	
3356	FAIL	FAIL	FAIL	FAIL	FAIL	
1678	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
1877	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
2960	FAIL	FAIL	FAIL	FAIL	FAIL	
FAIL	FAIL	FAIL	FAIL	FAIL	FAIL	
2272	FAIL	FAIL	FAIL	FAIL	FAIL	
1874	FAIL	FAIL	FAIL	FAIL	FAIL	
1702	FAIL	FAIL	FAIL	FAIL	FAIL	
1590	FAIL	FAIL	FAIL	FAIL	FAIL	
