sp	matK	rbcL	ndhF	trnL-F	ITS	Concatenated_phylogeny
1102@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	Acridocarpus
1503@Hiptage	2657@Hiptage	1314@Hiptage	2657@Hiptage	2657@Hiptage	1314@Hiptage	Hiptage
1525@Christianella	3431@Christianella	777@Christianella	3431@Christianella	FAIL	3431@Christianella	Christianella
1610@Malpighiodes	2100@Callaeum	1702@Callaeum	3431@Christianella	777@Christianella	1570@Malpighiodes	Malpighiodes
170@Acridocarpus	1102@Acridocarpus	69@Acridocarpus	2650@Acridocarpus	69@Acridocarpus	FAIL	Acridocarpus
1705@Dicella	3600@Dicella	3600@Dicella	3600@Dicella	3600@Dicella	1165@Dicella	Dicella
1716@Dicella	2100@Callaeum	1679@Callaeum	1705@Dicella	3431@Christianella	1705@Dicella	Dicella
1770@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	Bunchosia
1860@Bronwenia	1240@Diplopterys	1845@Bronwenia	S-51	1853@Bronwenia	1853@Bronwenia	Bronwenia
1915@Mascagnia	743@Mascagnia	2065@Mascagnia	743@Mascagnia	3386@Malpighia	743@Mascagnia	Mascagnia
2095@Tetrapterys	3431@Christianella	777	3431@Christianella	777	3980@Heteropterys	Tetrapterys
2168@Bunchosia	679@Bunchosia	2831@Bunchosia	2831@Bunchosia	1774@Bunchosia	679@Bunchosia	Bunchosia
2311@Elatine	2909@Elatine	2909@Elatine	2272@Elatine	2906@Elatine	2272@Elatine	Elatine
2693@Byrsonima	2764@Byrsonima	2764@Byrsonima	2700@Byrsonima	2700@Byrsonima	2711@Byrsonima	Byrsonima
2700@Byrsonima	2764@Byrsonima	2764@Byrsonima	2693@Byrsonima	2764@Byrsonima	2711@Byrsonima	Byrsonima
2711@Byrsonima	2764@Byrsonima	2700@Byrsonima	2700@Byrsonima	2700@Byrsonima	2700@Byrsonima	Byrsonima
2764@Byrsonima	2711@Byrsonima	2711@Byrsonima	2700@Byrsonima	2700@Byrsonima	2711@Byrsonima	Byrsonima
2960@Banisteriopsis	1850@Banisteriopsis	1850@Banisteriopsis	3536@Banisteriopsis	1850@Banisteriopsis	1850@Banisteriopsis	Banisteriopsis
3129@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	1774@Bunchosia	Bunchosia
3230@Malpighia	3234@Malpighia	3386@Malpighia	3234@Malpighia	3384@Malpighia	3234@Malpighia	Malpighia
3234@Malpighia	3230@Malpighia	3230@Malpighia	3230@Malpighia	3386@Malpighia	3230@Malpighia	Malpighia
3279@Heteropterys	3301@Heteropterys	3301@Heteropterys	3431@Christianella	3301@Heteropterys	3980@Heteropterys	Heteropterys
3301@Heteropterys	3279@Heteropterys	3279@Heteropterys	3279@Heteropterys	3279@Heteropterys	3980@Heteropterys	Heteropterys
3338@Amorimia	1531@Amorimia	3518@Amorimia	3518@Amorimia	3518@Amorimia	1531@Amorimia	Amorimia
3341@Aspidopterys	3342@Aspidopterys	3231@Malpighia	3342@Aspidopterys	3342@Aspidopterys	3342@Aspidopterys	Aspidopterys
